draw_no,date,n1,n2,n3,n4,n5,n6,additional
4184,2026-05-21,11,18,25,36,39,49,41
4183,2026-05-18,7,18,32,37,41,44,19
4182,2026-05-14,4,8,21,25,43,46,32
4181,2026-05-11,6,10,25,26,34,40,30
4180,2026-05-07,2,3,8,16,20,47,10
4179,2026-05-04,7,18,19,30,36,48,11
4178,2026-04-30,2,6,7,31,35,39,15
4177,2026-04-27,3,11,13,22,28,48,21
4176,2026-04-23,3,5,15,23,37,42,48
4175,2026-04-20,3,5,9,23,43,49,8
4174,2026-04-16,1,3,6,12,21,41,18
4173,2026-04-13,4,8,10,15,16,26,17
4172,2026-04-09,1,2,6,9,44,48,24
4171,2026-04-06,14,23,29,30,39,48,12
4170,2026-04-02,1,7,8,23,30,33,21
4169,2026-03-30,4,12,26,30,46,47,6
4168,2026-03-26,4,7,22,29,33,46,48
4167,2026-03-23,4,25,28,33,43,48,31
4166,2026-03-19,3,27,34,35,38,49,17
4165,2026-03-16,6,14,18,22,35,36,13
4164,2026-03-12,12,25,33,40,43,46,21
4163,2026-03-09,7,13,14,17,40,44,35
4162,2026-03-05,1,5,12,15,22,42,37
4161,2026-03-02,6,8,28,37,41,49,40
4160,2026-02-27,5,9,20,23,45,46,7
4159,2026-02-23,24,26,30,32,37,47,2
4158,2026-02-19,8,16,17,34,38,48,25
4157,2026-02-16,13,24,28,34,37,44,29
4156,2026-02-13,10,15,25,43,45,49,4
4155,2026-02-09,10,15,29,31,33,49,30
4154,2026-02-05,6,18,24,26,36,48,5
4153,2026-02-02,4,19,40,41,46,47,20
4152,2026-01-29,11,13,16,31,42,48,21
4151,2026-01-26,10,11,13,26,32,39,44
4150,2026-01-22,6,22,27,32,37,44,19
4149,2026-01-19,4,11,21,23,31,35,48
4148,2026-01-15,16,32,34,35,36,41,14
4147,2026-01-12,1,9,16,18,35,43,12
4146,2026-01-08,3,14,15,17,25,27,31
4145,2026-01-05,5,20,35,39,40,49,27
4144,2026-01-02,11,18,20,32,38,39,34
4143,2025-12-29,2,4,22,24,30,33,49
4142,2025-12-25,3,8,15,28,37,43,49
4141,2025-12-22,4,5,13,22,24,30,36
4140,2025-12-18,2,14,15,30,31,43,27
4139,2025-12-15,17,21,22,35,37,42,9
4138,2025-12-11,6,11,20,28,33,43,16
4137,2025-12-08,9,12,15,23,27,47,45
4136,2025-12-04,1,5,24,36,41,46,39
4135,2025-12-01,2,10,24,35,45,49,37
4134,2025-11-27,6,8,17,28,32,46,16
4133,2025-11-24,8,25,27,34,45,47,19
4132,2025-11-20,11,13,22,31,47,49,39
4131,2025-11-17,3,9,12,18,19,34,24
4130,2025-11-13,6,13,18,22,34,35,40
4129,2025-11-10,2,11,12,19,25,36,16
4128,2025-11-06,3,20,24,29,32,44,46
4127,2025-11-03,10,19,22,34,39,43,35
4126,2025-10-30,1,5,31,34,38,45,21
4125,2025-10-27,4,12,14,24,36,38,17
4124,2025-10-23,7,14,17,18,31,38,46
4123,2025-10-20,3,10,13,15,32,37,8
4122,2025-10-16,2,4,8,19,35,39,7
4121,2025-10-13,5,31,33,34,38,46,39
4120,2025-10-09,13,14,19,22,31,42,41
4119,2025-10-06,10,15,22,31,42,48,4
4118,2025-10-02,19,22,26,37,40,46,14
4117,2025-09-29,15,16,22,34,35,43,26
4116,2025-09-25,1,6,9,11,29,36,12
4115,2025-09-22,8,15,22,24,43,47,44
4114,2025-09-18,6,8,9,20,45,49,21
4113,2025-09-15,10,19,25,29,33,37,24
4112,2025-09-11,2,15,19,35,41,48,33
4111,2025-09-08,1,3,33,38,39,42,31
4110,2025-09-04,8,12,21,38,40,43,25
4109,2025-09-01,3,4,8,13,14,17,20
4108,2025-08-28,10,11,16,24,34,35,1
4107,2025-08-25,2,3,4,16,22,39,48
4106,2025-08-21,4,13,22,36,38,46,12
4105,2025-08-18,1,4,18,24,37,42,26
4104,2025-08-14,22,25,29,31,34,43,11
4103,2025-08-11,9,24,31,34,43,44,1
4102,2025-08-08,2,15,28,39,42,44,5
4101,2025-08-04,30,32,40,43,45,49,5
4100,2025-07-31,7,19,20,21,22,29,37
4099,2025-07-28,2,14,16,21,36,47,1
4098,2025-07-24,9,11,24,32,39,49,26
4097,2025-07-21,2,5,10,12,14,37,17
4096,2025-07-17,7,8,17,29,32,42,1
4095,2025-07-14,2,8,19,29,38,41,20
4094,2025-07-10,12,21,26,27,35,44,10
4093,2025-07-07,10,15,17,33,36,45,34
4092,2025-07-03,6,15,16,17,25,34,31
4091,2025-06-30,11,27,31,33,34,36,13
4090,2025-06-26,10,26,28,35,37,46,20
4089,2025-06-23,2,15,29,37,45,49,24
4088,2025-06-19,1,10,37,40,45,47,19
4087,2025-06-16,5,18,27,32,48,49,21
4086,2025-06-12,3,7,38,41,44,49,20
4085,2025-06-09,7,10,11,21,32,48,27
4084,2025-06-05,2,5,25,26,29,30,42
4083,2025-06-02,10,19,21,22,28,31,34
4082,2025-05-29,1,5,7,11,19,47,44
4081,2025-05-26,5,9,15,28,46,48,8
4080,2025-05-22,3,10,32,34,44,48,29
4079,2025-05-19,2,15,17,18,39,45,26
4078,2025-05-15,9,16,17,20,34,38,18
4077,2025-05-12,6,16,20,23,40,48,45
4076,2025-05-08,9,13,17,39,46,47,22
4075,2025-05-05,5,8,28,38,40,43,39
4074,2025-05-01,2,8,12,30,35,49,38
4073,2025-04-28,3,8,12,18,24,41,11
4072,2025-04-24,17,19,21,23,30,40,33
4071,2025-04-21,1,17,30,37,41,43,32
4070,2025-04-17,15,17,26,31,40,46,19
4069,2025-04-14,6,14,29,30,35,42,25
4068,2025-04-10,14,26,27,30,46,48,10
4067,2025-04-07,7,19,35,40,43,47,33
4066,2025-04-03,12,14,15,16,21,40,23
